Date,Description,Amount,Type
2025-12-23,Netflix/Autopay,649.0,Debit
2025-12-31,Spotify/Autopay,119.0,Debit
2026-03-02,SIP/MutualFund/SBI_MF,10000.0,Debit
2026-01-12,Zomato/UPI,2128.79,Debit
2026-01-25,SIP/MutualFund/HDFC_MF,1000.0,Debit
2026-02-10,Netflix/Autopay,649.0,Debit
2026-02-18,Zomato/UPI,2237.54,Debit
2026-02-20,ATM/Withdrawal/Cash,2951.05,Debit
2026-03-07,ATM/Withdrawal/Cash,607.9,Debit
2026-01-29,Spotify/Autopay,119.0,Debit
2026-02-04,SIP/MutualFund/SBI_MF,5000.0,Debit
2026-02-03,Spotify/Autopay,119.0,Debit
2025-12-13,SIP/MutualFund/HDFC_MF,1000.0,Debit
2026-02-28,Netflix/Autopay,649.0,Debit
2026-03-07,UPI/Merchant/DMart,4000.89,Debit
2026-01-25,NEFT/Transfer/Eesha,2648.04,Debit
2026-02-27,Spotify/Autopay,119.0,Debit
2026-01-17,Spotify/Autopay,119.0,Debit
2025-12-10,UPI/Merchant/Ola,3859.28,Debit
2026-01-29,UPI/Merchant/RelianceMart,1532.65,Debit
2026-03-08,Spotify/Autopay,119.0,Debit
2026-01-06,Swiggy/UPI,1154.5,Debit
2026-02-19,ATM/Withdrawal/Cash,1497.24,Debit
2025-12-22,Swiggy/UPI,1671.62,Debit
2025-12-25,SIP/MutualFund/Groww,10000.0,Debit
2026-02-02,POS/Retail/RelianceMart,2622.9,Debit
2025-12-26,Spotify/Autopay,119.0,Debit
2025-12-29,Zomato/UPI,2032.52,Debit
2026-02-08,Netflix/Autopay,649.0,Debit
2026-02-04,Swiggy/UPI,372.39,Debit
2025-12-17,Netflix/Autopay,649.0,Debit
2026-02-26,UPI/Merchant/BigBasket,1954.59,Debit
2025-12-30,Zomato/UPI,2636.54,Debit
2025-12-26,POS/Retail/Amazon,4537.85,Debit
2026-01-09,SIP/MutualFund/SBI_MF,1000.0,Debit
2026-02-12,Spotify/Autopay,119.0,Debit
2026-02-12,Spotify/Autopay,119.0,Debit
2026-02-17,Spotify/Autopay,119.0,Debit
2025-12-22,UPI/Merchant/Ola,3984.05,Debit
2025-12-16,Zomato/UPI,2278.07,Debit
2025-12-17,UPI/Merchant/Uber,941.33,Debit
2026-01-11,NEFT/Transfer/Saanvi,11661.49,Debit
2026-03-06,Spotify/Autopay,119.0,Debit
2025-12-19,SIP/MutualFund/HDFC_MF,1000.0,Debit
2025-12-15,Spotify/Autopay,119.0,Debit
2025-12-16,Zomato/UPI,318.32,Debit
2026-01-22,NEFT/Transfer/Omaja,2198.13,Debit
2026-01-13,Zomato/UPI,1124.87,Debit
2026-01-28,Spotify/Autopay,119.0,Debit
2026-01-09,SIP/MutualFund/ICICI_Prudential,1000.0,Debit
2026-01-17,Spotify/Autopay,119.0,Debit
2026-01-22,Netflix/Autopay,649.0,Debit
2026-02-12,ATM/Withdrawal/Cash,836.32,Debit
2026-03-04,POS/Retail/DMart,1721.3,Debit
2026-01-13,Zomato/UPI,1413.91,Debit
2025-12-21,POS/Retail/BigBasket,4374.79,Debit
2025-12-24,Netflix/Autopay,649.0,Debit
2025-12-30,Spotify/Autopay,119.0,Debit
2026-01-30,Swiggy/UPI,2991.17,Debit
2026-02-11,POS/Retail/Uber,174.75,Debit
2026-01-21,POS/Retail/DMart,4396.4,Debit
2026-01-06,Spotify/Autopay,119.0,Debit
2025-12-08,Zomato/UPI,2886.14,Debit
2026-02-07,Spotify/Autopay,119.0,Debit
2026-02-18,Spotify/Autopay,119.0,Debit
2026-01-06,ATM/Withdrawal/Cash,291.25,Debit
2026-02-09,SIP/MutualFund/SBI_MF,10000.0,Debit
2026-02-28,Netflix/Autopay,649.0,Debit
2026-01-12,POS/Retail/DMart,2641.86,Debit
2025-12-21,NEFT/Transfer/Warhi,6540.63,Debit
2025-12-10,POS/Retail/Amazon,1873.9,Debit
2025-12-14,Netflix/Autopay,649.0,Debit
2026-02-01,Netflix/Autopay,649.0,Debit
2026-01-08,POS/Retail/Uber,2282.92,Debit
2025-12-18,POS/Retail/Flipkart,2166.69,Debit
2026-01-13,Netflix/Autopay,649.0,Debit
2026-01-03,POS/Retail/Ola,1459.73,Debit
2026-02-14,Netflix/Autopay,649.0,Debit
2025-12-26,UPI/Merchant/BigBasket,4205.32,Debit
2025-12-08,NEFT/Transfer/Liam,10201.87,Debit
2025-12-28,Spotify/Autopay,119.0,Debit
2026-01-01,NEFT/Transfer/Indali,16337.42,Debit
2026-02-23,Zomato/UPI,515.55,Debit
2026-01-24,Netflix/Autopay,649.0,Debit
2026-01-15,ATM/Withdrawal/Cash,349.25,Debit
2025-12-21,Netflix/Autopay,649.0,Debit
2026-01-18,SIP/MutualFund/Zerodha_Coin,1000.0,Debit
2025-12-16,Swiggy/UPI,2577.34,Debit
2026-02-19,NEFT/Transfer/Neha,10419.68,Debit
2026-02-19,Spotify/Autopay,119.0,Debit
2026-03-06,Spotify/Autopay,119.0,Debit
2025-12-29,UPI/Merchant/Uber,2814.11,Debit
2026-02-14,Zomato/UPI,2861.79,Debit
2026-01-25,NEFT/Transfer/Zashil,7043.63,Debit
2025-12-08,UPI/Merchant/Uber,4520.71,Debit
2026-02-22,NEFT/Transfer/Lucky,17055.64,Debit
2025-12-19,Zomato/UPI,403.66,Debit
2025-12-08,Spotify/Autopay,119.0,Debit
2026-03-02,ATM/Withdrawal/Cash,2702.39,Debit
2025-12-18,ATM/Withdrawal/Cash,1569.15,Debit
